CMDLINE C:\Python312\python.exe pipelines/clean_fire_data.py
MEM 2.394531 1746032760.1803
MEM 11.871094 1746032760.2807
MEM 18.027344 1746032760.3814
MEM 23.253906 1746032760.4818
MEM 26.136719 1746032760.5828
MEM 30.031250 1746032760.6869
MEM 33.019531 1746032760.7901
MEM 36.046875 1746032760.8910
MEM 38.988281 1746032760.9957
MEM 40.542969 1746032761.0977
MEM 42.894531 1746032761.2108
MEM 44.882812 1746032761.3112
MEM 47.496094 1746032761.4116
MEM 50.269531 1746032761.5125
MEM 52.835938 1746032761.6132
MEM 56.460938 1746032761.7316
MEM 58.246094 1746032761.8317
MEM 60.035156 1746032761.9449
MEM 62.707031 1746032762.0470
MEM 63.027344 1746032762.1602
MEM 64.812500 1746032762.2717
MEM 65.636719 1746032762.3776
MEM 67.488281 1746032762.4820
MEM 69.375000 1746032762.5868
MEM 71.191406 1746032762.6910
MEM 73.386719 1746032762.7926
MEM 78.335938 1746032762.8929
MEM 86.210938 1746032762.9938
MEM 102.046875 1746032763.0948
MEM 107.968750 1746032763.1952
MEM 110.105469 1746032763.2963
MEM 116.199219 1746032763.3966
MEM 119.636719 1746032763.4971
MEM 123.144531 1746032763.5977
MEM 129.656250 1746032763.6986
MEM 136.160156 1746032763.7998
MEM 142.671875 1746032763.9031
MEM 146.179688 1746032764.0037
MEM 150.183594 1746032764.1048
MEM 155.695312 1746032764.2052
MEM 161.949219 1746032764.3062
MEM 165.203125 1746032764.4134
MEM 168.714844 1746032764.5220
MEM 175.019531 1746032764.6278
MEM 175.972656 1746032764.7297
MEM 181.476562 1746032764.8307
MEM 182.726562 1746032764.9316
MEM 188.238281 1746032765.0325
MEM 193.011719 1746032765.1356
MEM 195.257812 1746032765.2412
MEM 201.257812 1746032765.3421
MEM 204.273438 1746032765.4426
MEM 208.523438 1746032765.5432
MEM 214.273438 1746032765.6438
MEM 220.101562 1746032765.7463
MEM 222.789062 1746032765.8470
MEM 227.289062 1746032765.9504
MEM 233.792969 1746032766.0545
MEM 239.816406 1746032766.1551
MEM 244.316406 1746032766.2556
MEM 250.320312 1746032766.3563
MEM 255.246094 1746032766.4568
MEM 259.835938 1746032766.5574
MEM 266.347656 1746032766.6577
MEM 271.878906 1746032766.7583
MEM 273.996094 1746032766.8610
MEM 279.355469 1746032766.9614
MEM 282.871094 1746032767.0697
MEM 285.871094 1746032767.1711
MEM 292.375000 1746032767.2720
MEM 298.140625 1746032767.3725
MEM 302.894531 1746032767.4729
MEM 305.394531 1746032767.5736
MEM 311.894531 1746032767.6740
MEM 318.414062 1746032767.7747
MEM 325.917969 1746032767.8749
MEM 332.433594 1746032767.9756
MEM 339.937500 1746032768.0760
MEM 345.449219 1746032768.1763
MEM 351.457031 1746032768.2768
MEM 357.468750 1746032768.3772
MEM 363.972656 1746032768.4779
MEM 370.476562 1746032768.5783
MEM 373.980469 1746032768.6813
MEM 376.988281 1746032768.7909
MEM 383.000000 1746032768.9148
MEM 384.238281 1746032769.0261
MEM 389.996094 1746032769.1267
MEM 393.507812 1746032769.2295
MEM 396.507812 1746032769.3302
MEM 398.511719 1746032769.4402
MEM 403.011719 1746032769.5432
MEM 406.527344 1746032769.6435
MEM 409.527344 1746032769.7439
MEM 413.687500 1746032769.8446
MEM 416.101562 1746032769.9471
MEM 422.539062 1746032770.0575
MEM 424.894531 1746032770.1584
MEM 429.050781 1746032770.2612
MEM 434.031250 1746032770.3677
MEM 435.554688 1746032770.4720
MEM 437.644531 1746032770.5729
MEM 442.066406 1746032770.6768
MEM 444.074219 1746032770.7776
MEM 448.578125 1746032770.8784
MEM 453.476562 1746032770.9790
MEM 457.089844 1746032771.0795
MEM 461.597656 1746032771.1801
MEM 467.007812 1746032771.2806
MEM 470.558594 1746032771.3811
MEM 475.367188 1746032771.4818
MEM 481.121094 1746032771.5832
MEM 487.628906 1746032771.6848
MEM 494.132812 1746032771.7856
MEM 498.136719 1746032771.8864
MEM 501.394531 1746032771.9898
MEM 507.148438 1746032772.0951
MEM 508.238281 1746032772.2047
MEM 513.656250 1746032772.3052
MEM 517.687500 1746032772.4066
MEM 523.207031 1746032772.5074
MEM 528.160156 1746032772.6081
MEM 537.878906 1746032772.7084
MEM 546.230469 1746032772.8087
MEM 552.730469 1746032772.9091
MEM 559.238281 1746032773.0094
MEM 565.746094 1746032773.1098
MEM 572.253906 1746032773.2106
MEM 578.769531 1746032773.3108
MEM 588.273438 1746032773.4113
MEM 597.000000 1746032773.5119
MEM 604.046875 1746032773.6128
MEM 610.726562 1746032773.7133
MEM 617.832031 1746032773.8136
MEM 624.343750 1746032773.9139
MEM 631.605469 1746032774.0144
MEM 638.363281 1746032774.1184
MEM 643.875000 1746032774.2194
MEM 650.382812 1746032774.3199
MEM 658.894531 1746032774.4202
MEM 669.480469 1746032774.5209
MEM 676.417969 1746032774.6211
MEM 682.925781 1746032774.7214
MEM 690.187500 1746032774.8216
MEM 701.703125 1746032774.9222
MEM 708.988281 1746032775.0226
MEM 749.261719 1746032775.1233
MEM 732.753906 1746032775.2246
MEM 726.843750 1746032775.3250
MEM 697.437500 1746032775.4300
MEM 707.242188 1746032775.5400
MEM 676.230469 1746032775.6409
MEM 630.687500 1746032775.7438
MEM 577.390625 1746032775.8448
MEM 584.894531 1746032775.9513
MEM 593.171875 1746032776.0577
MEM 592.183594 1746032776.1597
MEM 643.218750 1746032776.2600
MEM 639.136719 1746032776.3603
MEM 640.984375 1746032776.4714
MEM 604.531250 1746032776.5734
MEM 613.566406 1746032776.6738
MEM 669.417969 1746032776.7762
MEM 738.304688 1746032776.8775
MEM 812.613281 1746032776.9784
MEM 912.691406 1746032777.0792
MEM 977.296875 1746032777.1796
MEM 1022.019531 1746032777.2802
MEM 1096.207031 1746032777.3804
MEM 1098.175781 1746032777.4849
MEM 1108.496094 1746032777.5854
MEM 1109.191406 1746032777.6860
MEM 1109.410156 1746032777.7863
MEM 1109.867188 1746032777.8870
MEM 1110.074219 1746032777.9874
MEM 1112.214844 1746032778.0880
MEM 1112.433594 1746032778.1888
MEM 1112.648438 1746032778.2894
MEM 1127.578125 1746032778.3900
MEM 1145.996094 1746032778.4915
MEM 1154.437500 1746032778.5936
MEM 1150.183594 1746032778.6945
MEM 1105.058594 1746032778.7951
MEM 1074.042969 1746032778.8970
MEM 1028.042969 1746032778.9978
MEM 958.257812 1746032779.0996
MEM 916.167969 1746032779.2007
MEM 746.976562 1746032779.3024
MEM 691.515625 1746032779.4029
MEM 716.007812 1746032779.5034
MEM 745.117188 1746032779.6039
MEM 781.320312 1746032779.7043
MEM 818.195312 1746032779.8046
MEM 850.792969 1746032779.9048
MEM 879.945312 1746032780.0057
MEM 900.457031 1746032780.1065
MEM 948.210938 1746032780.2072
MEM 973.546875 1746032780.3077
MEM 1007.085938 1746032780.4086
MEM 1054.015625 1746032780.5088
MEM 1092.367188 1746032780.6096
MEM 1119.031250 1746032780.7117
MEM 1130.792969 1746032780.8934
MEM 1131.140625 1746032781.0369
MEM 1116.058594 1746032781.1378
MEM 1090.925781 1746032781.2396
MEM 1011.144531 1746032781.3399
MEM 935.839844 1746032781.4444
MEM 824.894531 1746032781.5452
MEM 725.941406 1746032781.6464
MEM 546.355469 1746032781.7467
MEM 492.226562 1746032781.8482
MEM 491.945312 1746032781.9521
MEM 491.921875 1746032782.0548
MEM 491.562500 1746032782.1559
MEM 492.414062 1746032782.2566
MEM 492.230469 1746032782.3605
MEM 491.886719 1746032782.4615
MEM 491.316406 1746032782.5622
MEM 491.429688 1746032782.6689
MEM 492.050781 1746032782.7720
MEM 491.789062 1746032782.8723
MEM 491.750000 1746032782.9730
MEM 491.933594 1746032783.0739
MEM 491.984375 1746032783.1743
MEM 491.792969 1746032783.2752
MEM 491.664062 1746032783.3754
MEM 491.269531 1746032783.4762
MEM 491.824219 1746032783.5769
MEM 491.253906 1746032783.6775
MEM 490.863281 1746032783.7780
MEM 491.503906 1746032783.8787
MEM 490.871094 1746032783.9828
MEM 490.996094 1746032784.1021
MEM 491.433594 1746032784.2207
MEM 491.507812 1746032784.3214
MEM 490.839844 1746032784.4333
MEM 490.839844 1746032784.5375
MEM 491.820312 1746032784.6422
MEM 491.332031 1746032784.7448
MEM 491.382812 1746032784.8455
MEM 491.019531 1746032784.9503
MEM 491.269531 1746032785.0532
MEM 491.003906 1746032785.1535
MEM 491.007812 1746032785.2574
MEM 491.707031 1746032785.3583
MEM 491.093750 1746032785.4708
MEM 491.085938 1746032785.5732
MEM 491.257812 1746032785.6786
MEM 490.878906 1746032785.7817
MEM 491.519531 1746032785.8822
MEM 491.562500 1746032785.9830
MEM 495.886719 1746032786.0845
MEM 496.757812 1746032786.1893
MEM 496.691406 1746032786.2916
MEM 497.882812 1746032786.3945
MEM 499.152344 1746032786.4955
MEM 500.726562 1746032786.6006
MEM 501.441406 1746032786.7081
MEM 501.238281 1746032786.8100
MEM 502.425781 1746032786.9126
MEM 503.531250 1746032787.0202
MEM 503.703125 1746032787.1217
MEM 503.582031 1746032787.2232
MEM 504.953125 1746032787.3252
MEM 506.332031 1746032787.4259
MEM 506.539062 1746032787.5284
MEM 506.718750 1746032787.6399
MEM 507.417969 1746032787.7518
MEM 506.710938 1746032787.8614
MEM 509.617188 1746032787.9617
MEM 510.410156 1746032788.0717
MEM 510.988281 1746032788.1722
MEM 512.339844 1746032788.2726
MEM 513.101562 1746032788.3733
MEM 516.574219 1746032788.4740
MEM 518.625000 1746032788.5748
MEM 520.316406 1746032788.6753
MEM 522.187500 1746032788.7767
MEM 523.109375 1746032788.8776
MEM 525.273438 1746032788.9786
MEM 526.664062 1746032789.0789
MEM 527.804688 1746032789.1792
MEM 529.742188 1746032789.2799
MEM 532.843750 1746032789.3809
MEM 534.242188 1746032789.4889
MEM 535.660156 1746032789.5914
MEM 537.027344 1746032789.7393
MEM 537.480469 1746032789.8403
MEM 538.785156 1746032789.9418
MEM 539.613281 1746032790.0750
MEM 540.746094 1746032790.1848
MEM 496.453125 1746032790.3049
MEM 497.875000 1746032790.4096
MEM 498.675781 1746032790.5106
MEM 501.101562 1746032790.6116
MEM 503.066406 1746032790.7124
MEM 503.386719 1746032790.8151
MEM 505.046875 1746032790.9173
MEM 514.093750 1746032791.0183
MEM 520.621094 1746032791.1203
MEM 530.367188 1746032791.2207
MEM 537.679688 1746032791.3213
MEM 497.765625 1746032791.4226
MEM 506.296875 1746032791.5230
MEM 515.218750 1746032791.6235
MEM 528.250000 1746032791.7238
MEM 541.988281 1746032791.8245
